scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Eulamprus tympanum marnieae,"Corangamite Water Skink, Dreeite Water Skink",Endangered,Animalia,Reptilia,0,0,0,0,0,0,1,0,Reptiles
Euphorbia carissoides,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Euphorbia norfolkiana,Norfolk Island Euphorbia,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,0,Plants
Euphorbia obliqua,a herb,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Euphrasia amphisysepala,Shiny Cliff Eyebright,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Euphrasia arguta,-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Euphrasia bella,"Lamington Eyebright, Mt. Merino Eyebright",Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Euphrasia bowdeniae,-,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Euphrasia collina subsp. muelleri,"Purple Eyebright, Mueller's Eyebright",Endangered,Plantae,Magnoliopsida,0,1,0,0,1,0,1,0,Plants
Euphrasia collina subsp. osbornii,Osborn's Eyebright,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Euphrasia crassiuscula subsp. glandulifera,Thick Eyebright,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Euphrasia eichleri,Bogong Eyebright,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Euphrasia fragosa,"Shy Eyebright, Southport Eyebright",Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Euphrasia gibbsiae subsp. psilantherea,Swamp Eyebright,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Euphrasia phragmostoma,"Bufton's Eyebright, Hairy Cliff Eyebright",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Euphrasia semipicta,Peninsula Eyebright,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),"Masked Eyebright, Masked Cliff Eyebright",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
