scientific_name,common_name,status,kingdom,class,act,nsw,nt,qld,sa,tas,vic,wa,group
Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,0,Plants
Acacia ammophila,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia anomala,"Grass Wattle, Chittering Grass Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia aphylla,Leafless Rock Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia aprica,Blunt Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia araneosa,"Spidery Wattle, Balcanoona Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia aristulata,Watheroo Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia atrox,Myall Creek Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia attenuata,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia auratiflora,Orange-flowered Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia awestoniana,Stirling Range Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia axillaris,"Midlands Mimosa, Midlands Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,1,0,0,Plants
Acacia baueri subsp. aspera,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia blayana,Blay's Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia brachypoda,Western Wheatbelt Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia bynoeana,"Bynoe's Wattle, Tiny Wattle",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia caerulescens,"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Acacia carneorum,"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,1,0,0,0,Plants
Acacia chapmanii subsp. australis,-,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia constablei,Narrabarba Wattle,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia courtii,"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia cretacea,Chalky Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia crombiei,Pink Gidgee,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia curranii,Curly-bark Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Acacia dangarensis,-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia denticulosa,Sandpaper Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia depressa,Echidna Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia deuteroneura,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia enterocarpa,Jumping-jack Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,1,0,Plants
Acacia equisetifolia,a shrub,Critically Endangered,Plantae,Magnoliopsida,0,0,1,0,0,0,0,0,Plants
Acacia eremophiloides,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia flocktoniae,Flockton Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia forrestiana,Forest's Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia forsteri,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia georgensis,Bega Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia glandulicarpa,Hairy-pod Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,1,0,Plants
Acacia gordonii,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia grandifolia,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia handonis,"Hando's Wattle, Percy Grant Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia imitans,Gibson Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia lanigera var. gracilipes,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,1,0,Plants
Acacia lanuginophylla,Woolly Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia latzii,Latz's Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,1,0,1,0,0,0,Plants
Acacia lauta,Tara Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia leptalea,Chinocup Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia leptoneura,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia lobulata,Chiddarcooping Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia lumholtzii,Girringun wattle,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia macnuttiana,McNutt's Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia meiantha,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia menzelii,Menzel's Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia peuce,"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,1,1,1,0,0,0,Plants
Acacia pharangites,Wongan Gully Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia phasmoides,Phantom Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,1,0,Plants
Acacia pickardii,Birds Nest Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,1,0,1,0,0,0,Plants
Acacia pinguifolia,"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia porcata,-,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia praemorsa,Senna Wattle,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia praetermissa,a shrub,Vulnerable,Plantae,Magnoliopsida,0,0,1,0,0,0,0,0,Plants
Acacia prismifolia,Diels' Wattle,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia pubescens,"Downy Wattle, Hairy Stemmed Wattle",Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia pubifolia,Velvet Wattle,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Acacia pycnostachya,Bolivia Wattle,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia pygmaea,Dwarf Rock Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia recurvata,Recurved Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia rhamphophylla,Kundip Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia rhetinocarpa,"Neat Wattle, Resin Wattle (SA)",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia ruppii,Rupp's Wattle,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia spilleriana,Spiller's Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Acacia undoolyana,"Undoolya Wattle, Sickle-leaf Wattle",Vulnerable,Plantae,Magnoliopsida,0,0,1,0,0,0,0,0,Plants
Acacia unguicula,a shrub,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia vassalii,Vassal's Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Acacia wilsonii,Wilson's Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acacia woodmaniorum,Woodman's Wattle,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Acanthiza iredalei rosinae,Slender-billed Thornbill (Gulf St Vincent),Vulnerable,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Acanthiza lineata whitei,Kangaroo Island Striated Thornbill,Vulnerable,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Acanthiza pusilla magnirostris,"King Island Brown Thornbill, Brown Thornbill (King Island)",Endangered,Animalia,Aves,0,0,0,0,0,1,0,0,Birds
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,1,0,0,0,Plants
Acanthophis hawkei,Plains Death Adder,Vulnerable,Animalia,Reptilia,0,0,1,1,0,0,0,1,Reptiles
Acanthornis magna greeniana,"King Island Scrubtit, Scrubtit (King Island)",Critically Endangered,Animalia,Aves,0,0,0,0,0,1,0,0,Birds
Accipiter hiogaster natalis,Christmas Island Goshawk,Endangered,Animalia,Aves,0,0,0,0,0,0,0,0,Birds
Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,0,Plants
Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,0,Plants
Acriopsis emarginata,Pale Chandelier Orchid,Vulnerable,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Acronychia littoralis,Scented Acronychia,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Acrophyllum australe,-,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Actephila foetida,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Actinotus schwarzii,Desert Flannel-flower,Vulnerable,Plantae,Magnoliopsida,0,0,1,0,0,0,0,0,Plants
Adclarkia cameroni,Brigalow Woodland Snail,Endangered,Animalia,Gastropoda,0,0,0,1,0,0,0,0,Invertebrates
Adclarkia dawsonensis,"Boggomoss Snail, Dawson River Snail, Dawson Valley Snail",Critically Endangered,Animalia,Gastropoda,0,0,0,1,0,0,0,0,Invertebrates
Adclarkia dulacca,Dulacca Woodland Snail,Endangered,Animalia,Gastropoda,0,0,0,1,0,0,0,0,Invertebrates
Adenanthos dobagii,Fitzgerald Woollybush,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Adenanthos ellipticus,Oval-leaf Adenanthos,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Adenanthos eyrei,Toolinna Adenanthos,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Adenanthos pungens subsp. pungens,Spiky Adenanthos,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Adenanthos velutinus,Velvet Woollybush,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Advena campbellii,Campbell's Keeled Glass-snail,Critically Endangered,Animalia,Gastropoda,0,0,0,0,0,0,0,0,Invertebrates
Aipysurus apraefrontalis,"Short-nosed Sea Snake, Short-nosed Seasnake",Critically Endangered,Animalia,Reptilia,0,0,0,0,0,0,0,1,Reptiles
Aipysurus foliosquama,"Leaf-scaled Sea Snake, Leaf-scaled Seasnake",Critically Endangered,Animalia,Reptilia,0,0,0,0,0,0,0,1,Reptiles
Aipysurus fuscus,Dusky Sea Snake,Endangered,Animalia,Reptilia,0,0,0,0,0,0,0,1,Reptiles
Alectryon ramiflorus,Isis Tamarind,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Allocasuarina fibrosa,Woolly Sheoak,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Allocasuarina glareicola,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Allocasuarina portuensis,Nielsen Park She-oak,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Allocasuarina robusta,Mount Compass Oak-bush,Endangered,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Allocasuarina simulans,Nabiac Casuarina,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Allocasuarina thalassoscopica,-,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Allocasuarina tortiramula,Twisted Sheoak,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Alloxylon flammeum,"Red Silky Oak, Queensland Waratah, Tree Waratah",Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Almaleea cambagei,Torrington Pea,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Ammobium craspedioides,Yass Daisy,Vulnerable,Plantae,Magnoliopsida,1,1,0,0,0,0,0,0,Plants
Ammoniropa vigens,Ammonite Pinwheel Snail,Critically Endangered,Animalia,Gastropoda,0,0,0,0,0,1,0,0,Invertebrates
Amphibromus fluitans,"River Swamp Wallaby-grass, Floating Swamp Wallaby-grass",Vulnerable,Plantae,Liliopsida,0,1,0,0,1,1,1,0,Plants
Amphiprion mccullochi,"Whitesnout Anemonefish, McCulloch's Anemonefish",Critically Endangered,Animalia,Actinopterygii,0,1,0,0,0,0,0,0,Fish
Amyema plicatula,-,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Amytornis barbatus barbatus,"Bulloo Grey Grasswren, Grey Grasswren (Bulloo)",Endangered,Animalia,Aves,0,1,0,1,1,0,0,0,Birds
Amytornis dorotheae,Carpentarian Grasswren,Endangered,Animalia,Aves,0,0,1,1,0,0,0,0,Birds
Amytornis merrotsyi merrotsyi,Short-tailed Grasswren (Flinders Ranges),Vulnerable,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Amytornis merrotsyi pedleri,"Gawler Ranges Short-tailed Grasswren, Short-tailed Grasswren (Gawler Ranges)",Endangered,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Amytornis modestus,Thick-billed Grasswren,Vulnerable,Animalia,Aves,0,1,1,0,1,0,0,0,Birds
Amytornis modestus obscurior,"Grey Range Thick-billed Grasswren, Thick-billed Grasswren (north-west NSW)",Critically Endangered,Animalia,Aves,0,1,0,0,0,0,0,0,Birds
Amytornis striatus howei,"Murray Mallee Striated Grasswren, Striated Grasswren (sandplain)",Endangered,Animalia,Aves,0,1,0,0,1,0,1,0,Birds
Amytornis striatus striatus,"Mukarrthippi Grasswren, Striated Grasswren (sandplain)",Critically Endangered,Animalia,Aves,0,1,0,0,0,0,0,0,Birds
Amytornis textilis myall,Western Grasswren (Gawler Ranges),Vulnerable,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Amytornis woodwardi,"White-throated Grasswren, Yirlinkirrkirr",Vulnerable,Animalia,Aves,0,0,1,0,0,0,0,0,Birds
Andersonia annelsii,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Andersonia axilliflora,Giant Andersonia,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Andersonia gracilis,Slender Andersonia,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Andersonia pinaster,Two Peoples Bay Andersonia,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Androcalva adenothalia,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Androcalva beeronensis,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Androcalva bivillosa,Straggling Androcalva,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Androcalva inglewoodensis,-,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Androcalva perkinsiana,Headland Commersonia,Critically Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Androcalva perlaria,Pearl-like Androcalva,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Androcalva procumbens,-,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Androcalva rosea,Sandy Hollow Commersonia,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Angophora inopina,Charmhaven Apple,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Angophora robur,Sandstone Rough-barked Apple,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,Plantae,Liliopsida,0,0,0,0,0,0,0,1,Plants
Anigozanthos viridis subsp. terraspectans,Dwarf Green Kangaroo Paw,Vulnerable,Plantae,Liliopsida,0,0,0,0,0,0,0,1,Plants
Anilios insperatus,Fassifern Blind Snake,Critically Endangered,Animalia,Reptilia,0,0,0,1,0,0,0,0,Reptiles
Anomalopus mackayi,"Five-clawed Worm-skink, Long-legged Worm-skink",Vulnerable,Animalia,Reptilia,0,1,0,1,0,0,0,0,Reptiles
Anous tenuirostris melanops,Australian Lesser Noddy,Vulnerable,Animalia,Aves,0,0,0,0,0,0,0,1,Birds
Antechinus argentus,Silver-headed Antechinus,Endangered,Animalia,Mammalia,0,0,0,1,0,0,0,0,Mammals
Antechinus arktos,Black-tailed Antechinus,Endangered,Animalia,Mammalia,0,1,0,1,0,0,0,0,Mammals
Antechinus bellus,Fawn Antechinus,Vulnerable,Animalia,Mammalia,0,0,1,0,0,0,0,0,Mammals
Antechinus minimus maritimus,Swamp Antechinus (mainland),Vulnerable,Animalia,Mammalia,0,0,0,0,1,0,1,0,Mammals
Anthocercis gracilis,Slender Tailflower,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Anthochaera chrysoptera halmaturina,Kangaroo Island Little Wattlebird,Vulnerable,Animalia,Aves,0,0,0,0,1,0,0,0,Birds
Anthochaera phrygia,Regent Honeyeater,Critically Endangered,Animalia,Aves,1,1,0,1,1,0,1,0,Birds
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,Plantae,Liliopsida,0,1,0,0,0,0,0,0,Plants
Antipodia chaostola leucophaea,"Tasmanian Chaostola Skipper, Heath-sand Skipper",Endangered,Animalia,Insecta,0,0,0,0,0,1,0,0,Invertebrates
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,Plantae,Polypodiatae,0,1,0,1,0,0,0,0,Plants
Apatophyllum olsenii,-,Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Aphelocephala leucopsis,Southern Whiteface,Vulnerable,Animalia,Aves,1,1,1,1,1,0,1,1,Birds
Apium prostratum subsp. Porongurup Range (G.J.Keighery 8631),"Fine-leaved Apium, Porongurup Celery",Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Aponogeton bullosus,-,Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Aponogeton prolifer,an aquatic herb,Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Aprasia aurita,"Eared Worm-lizard, Mallee Worm-lizard",Endangered,Animalia,Reptilia,0,0,0,0,1,0,1,0,Reptiles
Aprasia parapulchella,"Pink-tailed Worm-lizard, Pink-tailed Legless Lizard",Vulnerable,Animalia,Reptilia,1,1,0,0,0,0,1,0,Reptiles
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,Vulnerable,Animalia,Reptilia,0,0,0,0,1,0,0,0,Reptiles
Aquila audax fleayi,"Tasmanian Wedge-tailed Eagle, Wedge-tailed Eagle (Tasmanian)",Endangered,Animalia,Aves,0,0,0,0,0,1,0,0,Birds
Archidendron lovelliae,"Bacon Wood, Tulip Siris",Vulnerable,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Arctocephalus tropicalis,Subantarctic Fur-seal,Endangered,Animalia,Mammalia,0,0,0,0,0,1,0,0,Mammals
Ardenna grisea,Sooty Shearwater,Vulnerable,Animalia,Aves,0,1,0,1,1,1,1,1,Birds
Arenaria interpres,Ruddy Turnstone,Vulnerable,Animalia,Aves,0,1,1,1,1,1,1,1,Birds
Argynnis hyperbius inconstans,Australian Fritillary,Critically Endangered,Animalia,Insecta,0,1,0,1,0,0,0,0,Invertebrates
Argyrotegium nitidulum,Shining Cudweed,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,1,1,0,Plants
Aristida annua,-,Vulnerable,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Aristida granitica,-,Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Aristida thompsonii,Thompson's wiregrass,Endangered,Plantae,Liliopsida,0,0,0,1,0,0,0,0,Plants
Arthraxon hispidus,Hairy-joint Grass,Vulnerable,Plantae,Liliopsida,0,1,0,1,0,0,0,0,Plants
Asperula asthenes,Trailing Woodruff,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Asperula tetraphylla,Kangaroo Island Woodruff,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,0,0,Plants
Asplenium hookerianum,Maidenhair Spleenwort,Vulnerable,Plantae,Polypodiatae,0,0,0,0,0,1,1,0,Plants
Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,Plantae,Polypodiatae,0,0,0,0,0,0,0,0,Plants
Asplenium pellucidum,-,Vulnerable,Plantae,Polypodiatae,0,0,0,1,0,0,0,0,Plants
Asplenium wildii,-,Vulnerable,Plantae,Polypodiatae,0,0,0,1,0,0,0,0,Plants
Assa darlingtoni,Pouched Frog,Vulnerable,Animalia,Amphibia,0,1,0,1,0,0,0,0,Frogs
Assa wollumbin,"Mount Wollumbin Hip-pocket Frog, Wollumbin Pouched Frog",Critically Endangered,Animalia,Amphibia,0,1,0,0,0,0,0,0,Frogs
Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,Animalia,Malacostraca,0,0,0,0,0,1,0,0,Invertebrates
Astelia australiana,Tall Astelia,Vulnerable,Plantae,Liliopsida,0,0,0,0,0,0,1,0,Plants
Asterolasia asteriscophora subsp. albiflora,White Star-bush,Critically Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Asterolasia beckersii,Dungowan Starbush,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Asterolasia buxifolia,-,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Asterolasia elegans,-,Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Asterolasia nivea,Bindoon Starbush,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Asterolasia phebalioides,Downy Star-bush,Vulnerable,Plantae,Magnoliopsida,0,0,0,0,1,0,1,0,Plants
Astrotricha crassifolia,Thick-leaf Star-hair,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Astrotricha roddii,-,Endangered,Plantae,Magnoliopsida,0,1,0,1,0,0,0,0,Plants
Astrotricha sp. Howe Range (D.E.Albrecht 1054),Long-leaf Star-hair,Critically Endangered,Plantae,Magnoliopsida,0,1,0,0,0,0,1,0,Plants
Astrotricha sp. Wingan Inlet (J.A.Jeanes 2268),Wingan Star-hair,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,1,0,Plants
Atalaya brevialata,-,Critically Endangered,Plantae,Magnoliopsida,0,0,1,0,0,0,0,0,Plants
Atalaya collina,Yarwun Whitewood,Endangered,Plantae,Magnoliopsida,0,0,0,1,0,0,0,0,Plants
Atrichornis clamosus,"Noisy Scrub-bird, Tjimiluk",Endangered,Animalia,Aves,0,0,0,0,0,0,0,1,Birds
Atrichornis rufescens,Rufous Scrub-bird,Endangered,Animalia,Aves,0,1,0,1,0,0,0,0,Birds
Atriplex infrequens,-,Vulnerable,Plantae,Magnoliopsida,0,1,0,0,0,0,0,0,Plants
Atriplex yeelirrie,-,Endangered,Plantae,Magnoliopsida,0,0,0,0,0,0,0,1,Plants
Austroablepharus barrylyoni,"Lyon's Grassland Striped Skink, Lyon's Snake-eyed Skink",Critically Endangered,Animalia,Reptilia,0,0,0,1,0,0,0,0,Reptiles
Austrocordulia leonardi,Sydney Hawk Dragonfly,Endangered,Animalia,Insecta,0,1,0,0,0,0,0,0,Invertebrates
Austrostipa bronwenae,-,Endangered,Plantae,Liliopsida,0,0,0,0,0,0,0,1,Plants
